user_id,enrollment_date,course_category,subscription_type,revenue_per_user,city,user_type,language
PW100000,2022-06-02,JEE,Paid Yearly,8999,Varanasi,Online,Regional
PW100001,2023-11-23,JEE,Free,0,Varanasi,Online,Regional
PW100002,2024-06-16,JEE,Paid Monthly,999,Muzaffarpur,Online,Hindi
PW100003,2022-01-11,JEE,Free,0,Gaya,Online,English
PW100004,2021-12-06,JEE,Paid Yearly,6999,Muzaffarpur,Online,Hindi
PW100005,2021-12-26,Skill Development,Free,0,Chennai,Online,Hindi
PW100006,2022-08-27,JEE,Paid Yearly,4999,Lucknow,Online,English
PW100007,2023-07-25,SSC,Free,0,Chennai,Offline,English
PW100008,2019-11-05,NEET,Paid Yearly,4999,Ahmedabad,Online,Hindi
PW100009,2023-03-18,JEE,Free,0,Bangalore,Online,Hindi
PW100010,2022-11-23,Skill Development,Free,0,Hyderabad,Online,Hindi
PW100011,2019-02-25,Skill Development,Free,0,Pune,Online,Regional
PW100012,2020-06-08,JEE,Free,0,Ahmedabad,Online,Hindi
PW100013,2020-09-26,JEE,Paid Monthly,499,Lucknow,Offline,English
PW100014,2019-10-30,UPSC,Paid Yearly,6999,Chennai,Offline,Regional
PW100015,2021-03-12,NEET,Free,0,Bangalore,Online,English
PW100016,2019-05-18,NEET,Paid Yearly,4999,Varanasi,Offline,Hindi
PW100017,2023-03-16,JEE,Paid Monthly,699,Muzaffarpur,Online,Regional
PW100018,2021-12-29,NEET,Free,0,Varanasi,Online,Regional
PW100019,2024-04-10,Skill Development,Paid Monthly,999,Nagpur,Online,Regional
PW100020,2019-04-07,Skill Development,Paid Monthly,499,Gaya,Online,Hindi
PW100021,2020-12-20,GATE,Free,0,Dehradun,Online,Hindi
PW100022,2019-11-15,SSC,Paid Yearly,6999,Gaya,Online,Hindi
PW100023,2023-03-28,JEE,Free,0,Jamshedpur,Online,Hindi
PW100024,2022-07-06,JEE,Free,0,Varanasi,Online,English
PW100025,2021-03-22,NEET,Paid Monthly,699,Kanpur,Online,English
PW100026,2019-05-01,JEE,Paid Yearly,6999,Jamshedpur,Online,English
PW100027,2024-04-15,NEET,Paid Monthly,499,Delhi,Online,Regional
PW100028,2024-04-09,JEE,Paid Monthly,499,Kolkata,Online,Regional
PW100029,2021-04-25,JEE,Free,0,Ahmedabad,Online,Regional
PW100030,2023-03-23,JEE,Free,0,Kanpur,Online,Hindi
PW100031,2022-01-01,NEET,Free,0,Delhi,Online,Hindi
PW100032,2019-08-04,SSC,Free,0,Kolkata,Online,Regional
PW100033,2021-09-20,NEET,Free,0,Dehradun,Offline,Hindi
PW100034,2023-10-23,UPSC,Paid Monthly,499,Pune,Online,English
PW100035,2019-06-17,UPSC,Paid Monthly,499,Muzaffarpur,Offline,Hindi
PW100036,2023-11-19,NEET,Paid Yearly,6999,Mumbai,Online,English
PW100037,2019-04-04,JEE,Paid Monthly,999,Muzaffarpur,Offline,Hindi
PW100038,2019-04-27,SSC,Free,0,Kanpur,Online,Hindi
PW100039,2024-02-20,JEE,Paid Yearly,8999,Chennai,Online,Hindi
PW100040,2019-03-07,UPSC,Paid Yearly,4999,Hyderabad,Offline,Regional
PW100041,2023-03-27,JEE,Paid Monthly,699,Lucknow,Online,Hindi
PW100042,2020-02-17,NEET,Free,0,Pune,Online,Hindi
PW100043,2020-08-14,NEET,Free,0,Gaya,Online,English
PW100044,2023-02-22,SSC,Paid Monthly,699,Bangalore,Online,English
PW100045,2022-08-08,JEE,Paid Yearly,6999,Ahmedabad,Online,Hindi
PW100046,2022-10-16,NEET,Paid Monthly,499,Hyderabad,Online,English
PW100047,2021-09-11,JEE,Paid Monthly,999,Delhi,Online,English
PW100048,2024-05-07,SSC,Paid Yearly,6999,Chennai,Online,English
PW100049,2022-07-22,JEE,Free,0,Dehradun,Online,Regional
PW100050,2023-06-30,UPSC,Free,0,Muzaffarpur,Offline,English
PW100051,2020-01-16,Skill Development,Paid Monthly,499,Delhi,Online,English
PW100052,2022-04-13,UPSC,Paid Yearly,4999,Pune,Online,Hindi
PW100053,2021-12-06,UPSC,Paid Yearly,4999,Bangalore,Online,Regional
PW100054,2023-05-06,NEET,Free,0,Jamshedpur,Online,Hindi
PW100055,2020-01-26,Commerce,Paid Monthly,499,Delhi,Online,English
PW100056,2021-02-04,JEE,Free,0,Ahmedabad,Offline,English
PW100057,2022-06-20,JEE,Free,0,Dehradun,Offline,Hindi
PW100058,2021-09-07,NEET,Free,0,Bangalore,Offline,Hindi
PW100059,2023-12-24,NEET,Paid Yearly,6999,Delhi,Online,Hindi
PW100060,2024-06-15,JEE,Paid Monthly,699,Pune,Online,Hindi
PW100061,2019-05-22,UPSC,Paid Yearly,4999,Pune,Online,Regional
PW100062,2021-11-01,JEE,Free,0,Lucknow,Online,Regional
PW100063,2021-08-19,NEET,Paid Monthly,999,Kolkata,Online,Hindi
PW100064,2023-05-04,SSC,Paid Monthly,999,Mumbai,Online,Hindi
PW100065,2019-12-30,JEE,Free,0,Mumbai,Online,Hindi
PW100066,2022-10-02,JEE,Paid Monthly,699,Varanasi,Online,Hindi
PW100067,2019-11-02,NEET,Paid Monthly,699,Bangalore,Offline,English
PW100068,2022-12-12,JEE,Paid Monthly,499,Hyderabad,Online,English
PW100069,2022-10-14,NEET,Paid Yearly,8999,Gaya,Online,English
PW100070,2022-03-05,JEE,Paid Yearly,8999,Chennai,Online,Hindi
PW100071,2020-08-20,NEET,Free,0,Dehradun,Online,English
PW100072,2023-01-22,JEE,Paid Yearly,4999,Ahmedabad,Online,English
PW100073,2023-07-01,JEE,Free,0,Nagpur,Offline,Hindi
PW100074,2020-10-12,NEET,Paid Monthly,999,Lucknow,Online,English
PW100075,2024-01-02,NEET,Free,0,Nagpur,Offline,Regional
PW100076,2023-10-10,NEET,Paid Monthly,699,Lucknow,Online,Hindi
PW100077,2023-06-30,NEET,Free,0,Bangalore,Online,Hindi
PW100078,2020-06-10,GATE,Free,0,Gaya,Online,English
PW100079,2019-07-28,NEET,Paid Monthly,999,Kanpur,Online,Hindi
PW100080,2021-12-11,Skill Development,Paid Yearly,6999,Mumbai,Offline,English
PW100081,2020-09-14,GATE,Paid Monthly,999,Bangalore,Offline,Hindi
PW100082,2023-05-12,JEE,Paid Monthly,499,Bangalore,Online,Hindi
PW100083,2024-01-14,Commerce,Free,0,Bangalore,Online,Hindi
PW100084,2022-03-08,NEET,Free,0,Kolkata,Online,Hindi
PW100085,2019-11-06,Skill Development,Paid Monthly,499,Chennai,Online,Hindi
PW100086,2023-11-04,NEET,Free,0,Kolkata,Online,Hindi
PW100087,2019-02-15,NEET,Paid Monthly,699,Ahmedabad,Online,Hindi
PW100088,2022-08-10,NEET,Paid Yearly,8999,Pune,Online,English
PW100089,2021-12-23,UPSC,Free,0,Mumbai,Online,Regional
PW100090,2024-01-23,Commerce,Paid Monthly,999,Nagpur,Online,Regional
PW100091,2019-08-06,JEE,Free,0,Lucknow,Online,Hindi
PW100092,2021-02-04,JEE,Free,0,Delhi,Online,Hindi
PW100093,2020-03-04,Commerce,Paid Monthly,699,Gaya,Online,Regional
PW100094,2020-04-21,SSC,Paid Monthly,499,Lucknow,Online,Hindi
PW100095,2023-08-20,JEE,Free,0,Lucknow,Online,Hindi
PW100096,2020-01-21,JEE,Paid Yearly,6999,Jamshedpur,Online,Regional
PW100097,2021-03-11,NEET,Free,0,Bangalore,Online,Hindi
PW100098,2023-03-17,JEE,Free,0,Hyderabad,Offline,Hindi
PW100099,2024-04-16,Skill Development,Paid Monthly,999,Hyderabad,Online,Hindi
PW100100,2022-04-21,UPSC,Free,0,Hyderabad,Online,Hindi
PW100101,2023-11-23,Commerce,Free,0,Pune,Online,Hindi
PW100102,2020-08-05,NEET,Paid Yearly,6999,Mumbai,Online,Hindi
PW100103,2022-01-09,UPSC,Paid Monthly,999,Varanasi,Online,Hindi
PW100104,2019-12-24,UPSC,Free,0,Lucknow,Online,Hindi
PW100105,2019-08-28,UPSC,Free,0,Gaya,Online,English
PW100106,2021-01-01,JEE,Free,0,Nagpur,Online,Hindi
PW100107,2020-07-24,NEET,Free,0,Delhi,Online,Regional
PW100108,2023-10-30,JEE,Paid Monthly,999,Pune,Online,Hindi
PW100109,2020-11-18,Commerce,Paid Monthly,699,Pune,Online,Hindi
PW100110,2022-05-26,UPSC,Free,0,Nagpur,Online,Hindi
PW100111,2022-12-08,SSC,Paid Monthly,999,Jamshedpur,Online,Regional
PW100112,2021-02-21,JEE,Paid Yearly,6999,Nagpur,Online,English
PW100113,2023-04-24,UPSC,Free,0,Hyderabad,Online,Hindi
PW100114,2021-12-04,UPSC,Paid Monthly,499,Kolkata,Online,Hindi
PW100115,2023-12-30,JEE,Paid Monthly,499,Kanpur,Online,Regional
PW100116,2022-12-13,JEE,Free,0,Nagpur,Online,English
PW100117,2021-12-23,SSC,Free,0,Ahmedabad,Online,Hindi
PW100118,2020-12-16,NEET,Paid Monthly,499,Mumbai,Offline,English
PW100119,2023-09-12,NEET,Paid Monthly,499,Mumbai,Online,Hindi
PW100120,2019-10-23,SSC,Paid Yearly,4999,Mumbai,Online,English
PW100121,2019-06-24,NEET,Paid Yearly,8999,Kolkata,Online,Hindi
PW100122,2019-08-21,UPSC,Paid Yearly,8999,Nagpur,Online,English
PW100123,2020-11-20,JEE,Free,0,Mumbai,Online,Hindi
PW100124,2019-07-24,JEE,Free,0,Lucknow,Online,Hindi
PW100125,2019-07-26,NEET,Free,0,Pune,Online,English
PW100126,2022-12-29,UPSC,Paid Monthly,999,Nagpur,Offline,Hindi
PW100127,2020-11-30,NEET,Free,0,Mumbai,Online,Hindi
PW100128,2019-12-07,Commerce,Paid Monthly,999,Nagpur,Online,English
PW100129,2020-12-14,NEET,Paid Monthly,699,Varanasi,Online,English
PW100130,2021-04-29,JEE,Free,0,Chennai,Online,Hindi
PW100131,2022-02-17,JEE,Paid Yearly,8999,Kolkata,Online,Regional
PW100132,2021-07-22,UPSC,Free,0,Delhi,Online,Hindi
PW100133,2020-02-03,GATE,Free,0,Dehradun,Online,Hindi
PW100134,2023-10-18,NEET,Paid Monthly,499,Delhi,Online,English
PW100135,2023-08-16,NEET,Paid Yearly,8999,Mumbai,Online,English
PW100136,2019-04-21,UPSC,Free,0,Pune,Offline,Hindi
PW100137,2020-03-19,Skill Development,Paid Monthly,499,Chennai,Online,English
PW100138,2023-09-21,JEE,Free,0,Kanpur,Online,Hindi
PW100139,2022-09-16,JEE,Free,0,Gaya,Online,English
PW100140,2019-05-05,JEE,Free,0,Ahmedabad,Offline,Hindi
PW100141,2019-02-23,JEE,Free,0,Gaya,Online,Regional
PW100142,2023-06-22,Skill Development,Free,0,Ahmedabad,Online,Regional
PW100143,2021-05-01,SSC,Free,0,Kanpur,Online,Regional
PW100144,2022-10-13,JEE,Paid Monthly,499,Chennai,Offline,English
PW100145,2022-02-04,GATE,Paid Yearly,4999,Pune,Online,Hindi
PW100146,2023-02-04,NEET,Paid Monthly,499,Chennai,Online,Hindi
PW100147,2019-09-11,NEET,Paid Yearly,6999,Dehradun,Online,Regional
PW100148,2021-03-08,JEE,Free,0,Lucknow,Online,Hindi
PW100149,2022-03-22,NEET,Paid Yearly,8999,Kolkata,Online,Hindi
PW100150,2023-12-22,JEE,Paid Monthly,499,Hyderabad,Online,Hindi
PW100151,2024-01-22,Skill Development,Free,0,Chennai,Offline,English
PW100152,2022-02-25,Skill Development,Paid Monthly,999,Kanpur,Online,Regional
PW100153,2022-01-17,NEET,Paid Yearly,6999,Bangalore,Online,English
PW100154,2022-05-10,Commerce,Paid Monthly,699,Delhi,Online,Regional
PW100155,2024-05-19,UPSC,Paid Monthly,999,Bangalore,Online,English
PW100156,2022-05-12,Skill Development,Free,0,Pune,Offline,Hindi
PW100157,2019-10-26,JEE,Free,0,Chennai,Online,Hindi
PW100158,2021-05-01,JEE,Free,0,Kolkata,Online,Hindi
PW100159,2021-08-18,UPSC,Paid Yearly,8999,Bangalore,Online,Hindi
PW100160,2021-07-20,UPSC,Paid Yearly,4999,Ahmedabad,Offline,Hindi
PW100161,2022-12-04,SSC,Paid Yearly,4999,Kanpur,Online,Hindi
PW100162,2023-11-13,UPSC,Free,0,Kanpur,Offline,Regional
PW100163,2023-01-09,JEE,Paid Yearly,8999,Delhi,Online,Hindi
PW100164,2021-09-15,UPSC,Free,0,Kolkata,Online,English
PW100165,2023-06-18,NEET,Free,0,Delhi,Online,English
PW100166,2021-04-07,Commerce,Paid Monthly,999,Varanasi,Online,Hindi
PW100167,2023-07-25,Skill Development,Paid Yearly,8999,Lucknow,Online,English
PW100168,2023-11-07,JEE,Paid Monthly,699,Kanpur,Online,English
PW100169,2021-07-14,SSC,Paid Monthly,499,Jamshedpur,Online,Hindi
PW100170,2019-04-18,JEE,Paid Monthly,699,Hyderabad,Online,English
PW100171,2021-08-13,NEET,Free,0,Muzaffarpur,Online,Regional
PW100172,2019-02-03,JEE,Free,0,Hyderabad,Online,Hindi
PW100173,2020-08-01,SSC,Paid Monthly,699,Jamshedpur,Online,Hindi
PW100174,2021-01-04,Commerce,Paid Monthly,699,Hyderabad,Online,Regional
PW100175,2019-02-08,GATE,Paid Monthly,999,Mumbai,Online,Hindi
PW100176,2023-09-15,UPSC,Free,0,Gaya,Online,English
PW100177,2020-03-16,NEET,Free,0,Kanpur,Offline,English
PW100178,2021-06-08,JEE,Free,0,Varanasi,Online,English
PW100179,2020-09-03,NEET,Free,0,Pune,Online,Regional
PW100180,2020-05-20,JEE,Free,0,Varanasi,Online,English
PW100181,2024-02-13,JEE,Paid Monthly,999,Gaya,Online,Hindi
PW100182,2021-09-13,UPSC,Paid Monthly,999,Kolkata,Online,Hindi
PW100183,2021-12-03,JEE,Paid Monthly,499,Ahmedabad,Online,Hindi
PW100184,2024-04-08,SSC,Free,0,Ahmedabad,Online,Regional
PW100185,2020-01-06,SSC,Paid Monthly,999,Bangalore,Online,Hindi
PW100186,2019-09-21,UPSC,Free,0,Nagpur,Online,Hindi
PW100187,2020-09-19,JEE,Paid Monthly,999,Pune,Online,Regional
PW100188,2022-01-13,NEET,Paid Monthly,999,Muzaffarpur,Online,Hindi
PW100189,2019-04-18,Skill Development,Paid Yearly,8999,Lucknow,Online,Hindi
PW100190,2021-04-15,JEE,Paid Monthly,699,Kolkata,Offline,English
PW100191,2023-04-05,JEE,Paid Yearly,6999,Kanpur,Online,Hindi
PW100192,2023-08-20,NEET,Paid Monthly,499,Lucknow,Offline,Hindi
PW100193,2023-12-24,NEET,Free,0,Bangalore,Online,Hindi
PW100194,2022-08-20,GATE,Free,0,Pune,Online,Regional
PW100195,2023-09-02,SSC,Paid Monthly,699,Bangalore,Online,Hindi
PW100196,2019-08-20,JEE,Paid Monthly,699,Ahmedabad,Online,Hindi
PW100197,2023-06-21,JEE,Free,0,Hyderabad,Offline,Regional
PW100198,2022-02-12,UPSC,Free,0,Lucknow,Offline,Regional
PW100199,2022-03-09,Commerce,Free,0,Lucknow,Online,Hindi
PW100200,2024-05-31,UPSC,Paid Monthly,499,Jamshedpur,Online,Regional
PW100201,2022-06-28,JEE,Paid Monthly,499,Mumbai,Online,Hindi
PW100202,2022-07-06,SSC,Free,0,Bangalore,Online,Hindi
